inf_mean,inf_upper,inf_lower,daily_cases,mobility_mean,mask_use_mean,cumulative_all_fully_vaccinated,seir_cumulative_mean,seir_cumulative_lower,seir_cumulative_upper
26.91,53.16,7.11,6,-7.1254,0.9359,0,0,0,0
23.38,52.33,5.56,4,-7.1541,0.9346,0,0,0,0
19.57,46.31,5.1,0,-7.186,0.9324,0,0,0,0
16.04,35.99,5.02,2,-7.2214,0.9282,0,0,0,0
13.21,25.59,4.58,3,-7.2608,0.9209,0,0,0,0
11.29,20.82,4.25,7,-7.3045,0.9088,0,0,0,0
10.22,19.61,4.14,5,-7.3531,0.8903,0,0,0,0
9.39,17.04,4.03,2,-7.4071,0.863,0,0,0,0
9.14,14.69,4.65,3,-7.4671,0.8368,0,0,0,0
10.21,17.59,4.63,8,-7.5337,0.8109,0,0,0,0
11.68,19.55,4.58,9,-7.6187,0.7841,0,0,0,0
13.1,21.81,5.51,5,-7.7061,0.7554,0,0,0,0
14.37,23.73,5.6,3,-7.7781,0.7237,0,0,0,0
15.26,25.02,6.18,2,-7.8196,0.6893,0,0,0,0
17.89,32.78,6.69,4,-7.8219,0.652,0,0,0,0.03
21.88,39.84,6.62,3,-7.7813,0.6213,0,0.01,0,0.06
26.11,43.87,8.67,0,-7.6981,0.5981,0,0.01,0,0.09
32.03,47.07,9.79,1,-7.5758,0.5833,0,0.02,0,0.12
37.61,50.1,15.52,0,-7.4188,0.5791,0,0.03,0,0.15
42.31,58.02,23.06,4,-7.2308,0.5716,0,0.05,0,0.18
47.18,61.62,30.23,0,-7.0168,0.5607,0,0.07,0,0.21
49.77,67.47,32.3,2,-6.7849,0.5464,0,0.09,0,0.24
52.22,75,25.22,2,-6.5455,0.5365,0,0.12,0,0.27
54.55,79.52,26.1,0,-6.31,0.5321,0,0.15,0,0.3
54.73,81.59,26.3,0,-6.0903,0.5344,0,0.18,0.03,0.33
57.27,86.59,27.05,9,-5.8969,0.5459,0,0.21,0.06,0.36
63.49,95.95,28.93,4,-5.737,0.552,0,0.24,0.09,0.39
73.11,117.38,28.66,2,-5.6154,0.5516,0,0.27,0.12,0.42
86.52,136.12,34.79,2,-5.5365,0.5429,0,0.3,0.15,0.45
101.72,161.16,39.67,0,-5.5041,0.5325,0,0.33,0.18,0.48
118.07,181.62,46.67,7,-5.5205,0.5277,0,0.36,0.21,0.51
133.8,202.48,59.68,13,-5.5876,0.5295,0,0.39,0.24,0.54
147.82,221.62,73.5,8,-5.7053,0.54,0,0.42,0.27,0.57
160.68,241.42,75.3,12,-5.8706,0.5457,0,0.45,0.3,0.6
172.28,268.48,73.04,0,-6.0802,0.5454,0,0.48,0.33,0.63
182.44,289.6,74.7,10,-6.3318,0.5375,0,0.51,0.36,0.66
190.32,311.34,75.71,18,-6.6238,0.5222,0,0.54,0.39,0.69
197.87,327.78,77.22,0,-6.9548,0.5081,0,0.57,0.42,0.72
204.37,338.49,77.22,22,-7.3228,0.497,0,0.6,0.45,0.75
207.07,351.71,83.64,12,-7.7239,0.4917,0,0.63,0.48,0.78
208.76,364.41,86.85,14,-8.1515,0.4797,0,0.66,0.51,0.81
209.9,360.54,90.19,17,-8.5976,0.4618,0,0.69,0.54,0.84
208.76,347.31,89.9,23,-9.0556,0.4387,0,0.72,0.57,0.87
208.39,344.3,87.06,47,-9.521,0.4152,0,0.89,0.74,1.04
210.95,341.17,86.29,32,-9.992,0.397,0,1.21,1.06,1.36
218.04,344.64,83.73,40,-10.4698,0.3843,0,1.52,1.37,1.67
229.74,366.18,88.01,47,-10.959,0.3781,0,1.84,1.69,1.99
245.27,396.21,85.09,23,-11.4664,0.377,0,2.15,2.01,2.31
270.87,446.14,92.98,54,-11.9994,0.3796,0,2.47,2.32,2.62
313.16,539.28,92.39,49,-12.5695,0.3841,0,2.78,2.64,2.94
364.59,613.49,100.58,73,-13.1925,0.3876,0,2.96,2.81,3.11
419.24,728.8,117.79,52,-13.8891,0.3956,0,3.06,2.91,3.21
482.88,836.95,133.71,49,-14.6881,0.4087,0,3.23,3.08,3.38
557.86,936.62,149.31,70,-15.6283,0.4275,0,3.4,3.26,3.56
643.05,1089.76,172.89,42,-16.7585,0.4438,0,3.58,3.43,3.73
746.51,1279.96,202.32,35,-18.137,0.4579,0,3.82,3.67,3.97
875.6,1495.81,237.01,47,-19.8282,0.4696,0,4.21,4.06,4.36
1030.75,1767.39,273.06,74,-21.8946,0.4761,0,4.74,4.59,4.89
1212.84,2074.01,320.61,49,-24.3853,0.479,0,5.27,5.12,5.42
1419.47,2437.85,385.28,65,-27.3272,0.4802,0,5.73,5.58,5.88
1666.86,2884.28,445.96,75,-30.7125,0.4819,0,6.19,6.04,6.34
1933.44,3308.02,506.44,120,-34.4854,0.4889,0,6.64,6.5,6.8
2175.73,3795.61,587.92,66,-38.5351,0.499,0,7.03,6.88,7.18
2386.34,4236.29,634.77,106,-42.7011,0.511,0,7.35,7.2,7.5
2530.29,4634.25,696.73,142,-46.7936,0.5233,0,7.66,7.52,7.82
2590.43,4900.48,734.41,287,-50.6303,0.5398,0,7.98,7.83,8.13
2594.42,5006.47,723.67,198,-54.0651,0.559,0,8.37,8.22,8.52
2521.63,4928.68,672.44,191,-57.0041,0.5795,0,8.9,8.75,9.05
2383.36,4869.11,607.87,233,-59.412,0.6067,0,9.5,9.35,9.65
2226.23,4703.98,556.11,386,-61.3015,0.639,0,10.1,9.95,10.25
2050.69,4331.81,529.22,334,-62.7212,0.6745,0,10.7,10.55,10.85
1895.63,3928.59,498.19,447,-63.7433,0.7108,0,11.23,11.08,11.38
1776.97,3588.44,461.25,728,-64.4509,0.7434,0,11.69,11.54,11.84
1671.56,3331.18,438.03,623,-64.9279,0.7725,0,12.08,11.93,12.23
1588.83,3230.27,423.3,942,-65.2513,0.7981,0,12.32,12.17,12.47
1530.49,3057.08,417.79,596,-65.4841,0.821,0,12.56,12.42,12.72
1493.3,2870.09,396.68,1426,-65.6705,0.8416,0,12.88,12.73,13.03
1477.79,2771.49,392.97,1111,-65.8373,0.8611,0,13.12,12.98,13.28
1477.71,2815.2,401.95,1016,-65.9988,0.88,0,13.3,13.15,13.45
1495.82,2858.02,404.68,1037,-66.1617,0.8939,0,13.47,13.32,13.62
1518.23,2840.43,404.06,897,-66.328,0.9036,0,13.79,13.64,13.94
1530.54,2899.65,409.51,618,-66.4979,0.9097,0,14.24,14.1,14.4
1546.34,2978.87,414.91,931,-66.6688,0.9133,0,14.63,14.48,14.78
1552.89,2987.82,416.1,799,-66.832,0.915,0,15.02,14.87,15.17
1544.45,2997.85,413.57,528,-66.9727,0.9152,0,15.55,15.4,15.7
1529.64,3002.79,406.82,690,-67.0744,0.9147,0,16.22,16.07,16.37
1495.23,2950.12,398.9,528,-67.1223,0.914,0,17.04,16.89,17.19
1447.09,2938.4,384.87,932,-67.1059,0.913,0,17.78,17.63,17.93
1388.46,2843.13,361.83,447,-67.0206,0.9117,0,18.38,18.24,18.54
1314.37,2701.62,342.63,657,-66.868,0.9109,0,19.13,18.98,19.28
1240.17,2569.08,325.31,573,-66.6497,0.9099,0,19.94,19.8,20.1
1167.43,2422.4,310.72,632,-66.3649,0.9094,0,20.62,20.47,20.77
1102.48,2264.28,301.89,788,-66.0148,0.9095,0,21.15,21,21.3
1060.74,2129.57,291.24,741,-65.6048,0.9101,0,21.53,21.39,21.69
1030.73,1996.46,285.25,768,-65.1462,0.9115,0,21.92,21.77,22.07
1010.33,1957.67,284.31,753,-64.6599,0.9131,0,22.38,22.23,22.53
997.73,1956.28,281.63,876,-64.171,0.9151,0,22.69,22.55,22.85
980.01,1917.92,273.94,486,-63.7016,0.9165,0,22.87,22.72,23.02
959.82,1895.86,266.01,849,-63.2688,0.9192,0,23.04,22.89,23.19
938.52,1851.93,260.18,675,-62.8868,0.9216,0,23.28,23.14,23.44
913.67,1806.49,254.77,752,-62.5675,0.9235,0,23.6,23.45,23.75
891.44,1770.36,248.97,793,-62.3202,0.9257,0,23.84,23.7,24
878.96,1718.64,241.67,465,-62.1519,0.9273,0,24.02,23.87,24.17
875.88,1660.31,237.34,682,-62.0633,0.9283,0,24.19,24.04,24.34
880.59,1668.33,239.5,305,-62.0443,0.9289,0,24.43,24.29,24.59
885.23,1704.11,244.22,451,-62.0735,0.9285,0,24.75,24.6,24.9
872.44,1733.32,240.09,570,-62.1227,0.9279,0,24.99,24.85,25.15
842.82,1749.35,227.14,448,-62.159,0.9271,0,25.17,25.02,25.32
805.81,1683.43,217.09,614,-62.1469,0.9268,0,25.34,25.19,25.49
760.6,1578.98,201.02,642,-62.0508,0.9255,0,25.51,25.37,25.67
711.41,1470.97,185.76,548,-61.8367,0.9246,0,25.69,25.54,25.84
667.64,1407.39,175.3,344,-61.4732,0.9236,0,25.79,25.64,25.94
634.48,1332.44,166.94,383,-60.9381,0.9227,0,25.82,25.67,25.97
614.24,1230.06,158.87,533,-60.2275,0.9221,0,25.85,25.7,26
605.74,1148.89,156.1,373,-59.3552,0.9215,0,25.88,25.73,26.03
602.75,1173.56,159.65,611,-58.3509,0.9208,0,25.98,25.83,26.13
596.98,1194.2,161.96,506,-57.258,0.9211,0,26.15,26,26.3
581.64,1191.75,156.41,518,-56.1273,0.9214,0,26.32,26.18,26.48
554.73,1151.21,146.13,408,-55.0083,0.9217,0,26.5,26.35,26.65
517.2,1100.47,131.34,544,-53.9462,0.922,0,26.67,26.52,26.82
472.64,1038.66,115.74,569,-52.9804,0.9226,0,26.91,26.77,27.07
427.49,963.18,106.14,517,-52.1381,0.9226,0,27.23,27.08,27.38
387.11,865.68,99.22,261,-51.4311,0.9223,0,27.47,27.33,27.63
355.74,762.61,94.37,344,-50.8559,0.9219,0,27.65,27.5,27.8
334.79,684.68,89.95,383,-50.3925,0.9211,0,27.82,27.67,27.97
318.62,639.44,86.68,386,-50.0057,0.9209,0,27.99,27.85,28.15
304.82,625.51,84.01,218,-49.6498,0.9209,0,28.17,28.02,28.32
297.13,604.36,80.6,451,-49.2733,0.9206,0,28.34,28.19,28.49
293.53,570.38,76.67,422,-48.8238,0.9202,0,28.51,28.36,28.66
290.54,555.46,77.52,463,-48.2525,0.9197,0,28.68,28.54,28.84
292.23,571.76,79.51,347,-47.5191,0.9187,0,28.86,28.71,29.01
299.03,572.14,89.92,407,-46.5945,0.9173,0,29.03,28.88,29.18
306.29,565.83,91.05,214,-45.4646,0.9161,0,29.2,29.06,29.36
313.86,589.55,93.81,151,-44.1343,0.9152,0,29.38,29.23,29.53
318.34,611.96,100.23,247,-42.6304,0.9144,0,29.48,29.33,29.63
314.48,621.48,98.83,257,-41.0017,0.9138,0,29.51,29.36,29.66
304.24,620.21,89.73,142,-39.3143,0.9122,0,29.54,29.39,29.69
290.4,592.87,79.97,218,-37.6415,0.91,0,29.57,29.42,29.72
273.83,555.29,75.02,262,-36.0486,0.9076,0,29.6,29.45,29.75
257.04,525.14,70.92,218,-34.5817,0.9054,0,29.63,29.48,29.78
242.78,501.44,69.22,119,-33.2666,0.9035,0,29.66,29.51,29.81
231.79,471.33,63.49,191,-32.1161,0.9011,0,29.69,29.54,29.84
224.2,441.16,61.02,113,-31.1362,0.8991,0,29.72,29.57,29.87
222.81,424.11,60.17,219,-30.329,0.897,0,29.75,29.6,29.9
230.89,423.51,61.66,291,-29.6943,0.8952,0,29.78,29.63,29.93
246.22,437.92,65.04,213,-29.2281,0.8934,0,29.81,29.66,29.96
265.06,474.79,69.46,202,-28.9174,0.8911,0,29.84,29.69,29.99
286.91,517.54,74.91,246,-28.7391,0.8896,0,29.87,29.72,30.02
308.65,565.29,80.94,215,-28.6692,0.8893,0,29.9,29.75,30.05
325.76,612.22,86.21,188,-28.6875,0.889,0,29.93,29.78,30.08
336.49,644.53,91.05,169,-28.7783,0.8884,0,29.96,29.81,30.11
338.52,671.2,94.01,185,-28.9294,0.8876,0,29.99,29.84,30.14
337.26,678.53,93.46,136,-29.127,0.8884,0,30.02,29.87,30.17
338.28,656.74,89.95,183,-29.3496,0.889,0,30.05,29.9,30.2
339.96,636.03,89.38,157,-29.5666,0.8899,0,30.08,29.93,30.23
347.11,658.48,92.52,158,-29.7505,0.8904,0,30.11,29.96,30.26
366.51,677.65,96.72,125,-29.8808,0.8909,0,30.14,29.99,30.29
395.9,702.34,103.37,191,-29.9411,0.8921,0,30.17,30.02,30.32
429.65,762.63,110.31,169,-29.9197,0.8932,0,30.27,30.12,30.42
460.68,836.5,115.94,178,-29.8152,0.8933,0,30.44,30.29,30.59
482.76,914.44,129.96,322,-29.6319,0.8938,0,30.61,30.47,30.77
495.38,970.86,134.56,347,-29.3791,0.8948,0,30.79,30.64,30.94
498.45,966.78,133.75,248,-29.0748,0.8964,0,30.96,30.81,31.11
490.53,963.96,133.69,248,-28.7439,0.8968,0,31.13,30.99,31.29
473.55,965.27,130.87,327,-28.4138,0.8973,0,31.31,31.16,31.46
451.11,950.16,122.28,202,-28.1101,0.8977,0,31.41,31.26,31.56
434.69,902.31,115.88,257,-27.8494,0.8977,0,31.44,31.29,31.59
438.51,834.48,114.15,123,-27.6332,0.8977,0,31.47,31.32,31.62
449.68,802.35,113.07,399,-27.4505,0.897,0,31.5,31.35,31.65
456.95,872.68,120.84,310,-27.2885,0.896,0,31.53,31.38,31.68
460.12,922.39,129.85,354,-27.1387,0.8957,0,31.56,31.41,31.71
449.68,930.15,123.53,277,-26.9994,0.8949,0,31.59,31.44,31.74
428.04,886.88,116.14,513,-26.8743,0.8937,0,31.62,31.47,31.77
392.37,831.89,89.9,481,-26.7659,0.8917,0,31.65,31.5,31.8
336.11,791.31,60.4,469,-26.6658,0.8907,0,31.68,31.53,31.83
276.85,751.82,50.49,359,-26.5562,0.89,0,31.71,31.56,31.86
222.14,606.58,44.68,334,-26.4192,0.8895,0,31.74,31.59,31.89
173.19,426.78,40.8,278,-26.2425,0.8898,0,31.77,31.62,31.92
141.86,325.27,35.66,396,-26.0222,0.8907,0,31.8,31.65,31.95
124.8,277.25,34.06,307,-25.7632,0.8911,0,31.83,31.68,31.98
115.84,247.9,32.44,313,-25.4794,0.8919,0,31.86,31.71,32.01
112.04,219.43,30.85,226,-25.1842,0.892,0,31.89,31.74,32.04
110.19,205.44,31.24,295,-24.8874,0.8924,0,31.92,31.77,32.07
111.18,212.98,32.5,908,-24.6004,0.8925,0,31.95,31.8,32.1
112.04,216.39,32.63,301,-24.3352,0.8932,0,31.98,31.83,32.13
110.49,215.56,32.54,242,-24.1023,0.8928,0,32.01,31.86,32.16
106.97,214.42,31.26,132,-23.9062,0.8923,0,32.04,31.89,32.19
100.97,208.36,28.52,175,-23.7392,0.8919,0,32.07,31.92,32.22
